,Season,Wk,Team,Points Scored,Opponent,Points Allowed,DateTime,Win
0,2014,1,South Carolina,28,Texas A&M,52,2014-08-28 18:00:00,False
1,2014,1,Texas A&M,52,South Carolina,28,2014-08-28 18:00:00,True
2,2014,1,Akron,41,Howard,0,2014-08-28 19:00:00,True
3,2014,1,Presbyterian,3,Northern Illinois,55,2014-08-28 19:00:00,False
4,2014,1,Eastern Illinois,20,Minnesota,42,2014-08-28 19:00:00,False
5,2014,1,Chattanooga,16,Central Michigan,20,2014-08-28 19:00:00,False
6,2014,1,Northern Illinois,55,Presbyterian,3,2014-08-28 19:00:00,True
7,2014,1,Howard,0,Akron,41,2014-08-28 19:00:00,False
8,2014,1,Central Michigan,20,Chattanooga,16,2014-08-28 19:00:00,True
9,2014,1,Minnesota,42,Eastern Illinois,20,2014-08-28 19:00:00,True
10,2014,1,Wake Forest,10,Louisiana-Monroe,17,2014-08-28 19:02:00,False
11,2014,1,Louisiana-Monroe,17,Wake Forest,10,2014-08-28 19:02:00,True
12,2014,1,Idaho State,14,Utah,56,2014-08-28 19:30:00,False
13,2014,1,Utah,56,Idaho State,14,2014-08-28 19:30:00,True
14,2014,1,Tulane,31,Tulsa,38,2014-08-28 20:00:00,False
15,2014,1,Mississippi,35,Boise State,13,2014-08-28 20:00:00,True
16,2014,1,Tulsa,38,Tulane,31,2014-08-28 20:00:00,True
17,2014,1,Cal Poly,10,New Mexico State,28,2014-08-28 20:00:00,False
18,2014,1,Boise State,13,Mississippi,35,2014-08-28 20:00:00,False
19,2014,1,New Mexico State,28,Cal Poly,10,2014-08-28 20:00:00,True
20,2014,1,North Dakota,10,San Jose State,42,2014-08-28 22:00:00,False
21,2014,1,Washington State,38,Rutgers,41,2014-08-28 22:00:00,False
22,2014,1,Rutgers,41,Washington State,38,2014-08-28 22:00:00,True
23,2014,1,San Jose State,42,North Dakota,10,2014-08-28 22:00:00,True
24,2014,1,Arizona State,45,Weber State,14,2014-08-28 22:30:00,True
25,2014,1,Weber State,14,Arizona State,45,2014-08-28 22:30:00,False
26,2014,1,Vanderbilt,7,Temple,37,2014-08-28 22:50:00,False
27,2014,1,Temple,37,Vanderbilt,7,2014-08-28 22:50:00,True
28,2014,1,Brigham Young,35,Connecticut,10,2014-08-29 19:00:00,True
29,2014,1,Connecticut,10,Brigham Young,35,2014-08-29 19:00:00,False
30,2014,1,Western Kentucky,59,Bowling Green,31,2014-08-29 19:30:00,True
31,2014,1,Syracuse,27,Villanova,26,2014-08-29 19:30:00,True
32,2014,1,Michigan State,45,Jacksonville State,7,2014-08-29 19:30:00,True
33,2014,1,Jacksonville State,7,Michigan State,45,2014-08-29 19:30:00,False
34,2014,1,Bowling Green,31,Western Kentucky,59,2014-08-29 19:30:00,False
35,2014,1,Villanova,26,Syracuse,27,2014-08-29 19:30:00,False
36,2014,1,Texas-San Antonio,27,Houston,7,2014-08-29 21:00:00,True
37,2014,1,Colorado State,31,Colorado,17,2014-08-29 21:00:00,True
38,2014,1,Colorado,17,Colorado State,31,2014-08-29 21:00:00,False
39,2014,1,Houston,7,Texas-San Antonio,27,2014-08-29 21:00:00,False
40,2014,1,Nevada-Las Vegas,13,Arizona,58,2014-08-29 22:30:00,False
41,2014,1,Arizona,58,Nevada-Las Vegas,13,2014-08-29 22:30:00,True
42,2014,1,Penn State,26,Central Florida,24,2014-08-30 08:30:00,True
43,2014,1,Central Florida,24,Penn State,26,2014-08-30 08:30:00,False
44,2014,1,Purdue,43,Western Michigan,34,2014-08-30 12:00:00,True
45,2014,1,UCLA,28,Virginia,20,2014-08-30 12:00:00,True
46,2014,1,Youngstown State,17,Illinois,28,2014-08-30 12:00:00,False
47,2014,1,Indiana State,10,Indiana,28,2014-08-30 12:00:00,False
48,2014,1,Northern Iowa,23,Iowa,31,2014-08-30 12:00:00,False
49,2014,1,Tennessee-Martin,14,Kentucky,59,2014-08-30 12:00:00,False
50,2014,1,Troy,10,Alabama-Birmingham,48,2014-08-30 12:00:00,False
51,2014,1,Navy,17,Ohio State,34,2014-08-30 12:00:00,False
52,2014,1,Delaware,0,Pittsburgh,62,2014-08-30 12:00:00,False
53,2014,1,Western Michigan,34,Purdue,43,2014-08-30 12:00:00,False
54,2014,1,Virginia,20,UCLA,28,2014-08-30 12:00:00,False
55,2014,1,Pittsburgh,62,Delaware,0,2014-08-30 12:00:00,True
56,2014,1,Appalachian State,14,Michigan,52,2014-08-30 12:00:00,False
57,2014,1,Iowa State,14,North Dakota State,34,2014-08-30 12:00:00,False
58,2014,1,Alabama-Birmingham,48,Troy,10,2014-08-30 12:00:00,True
59,2014,1,Iowa,31,Northern Iowa,23,2014-08-30 12:00:00,True
60,2014,1,Illinois,28,Youngstown State,17,2014-08-30 12:00:00,True
61,2014,1,Ohio State,34,Navy,17,2014-08-30 12:00:00,True
62,2014,1,North Dakota State,34,Iowa State,14,2014-08-30 12:00:00,True
63,2014,1,Indiana,28,Indiana State,10,2014-08-30 12:00:00,True
64,2014,1,Kentucky,59,Tennessee-Martin,14,2014-08-30 12:00:00,True
65,2014,1,Michigan,52,Appalachian State,14,2014-08-30 12:00:00,True
66,2014,1,Georgia Tech,38,Wofford,19,2014-08-30 12:30:00,True
67,2014,1,Wofford,19,Georgia Tech,38,2014-08-30 12:30:00,False
68,2014,1,Georgia Southern,23,North Carolina State,24,2014-08-30 12:30:00,False
69,2014,1,North Carolina State,24,Georgia Southern,23,2014-08-30 12:30:00,True
70,2014,1,Ball State,30,Colgate,10,2014-08-30 14:00:00,True
71,2014,1,Nicholls State,16,Air Force,44,2014-08-30 14:00:00,False
72,2014,1,Air Force,44,Nicholls State,16,2014-08-30 14:00:00,True
73,2014,1,Colgate,10,Ball State,30,2014-08-30 14:00:00,False
74,2014,1,Nevada,28,Southern Utah,19,2014-08-30 15:00:00,True
